"Date","Rating","Text"
"11/20/2021","1 star ","We are from out of town so we went with the flyer in our hotel room. Bad idea. Should have read the reviews first. 1. Took 2 hours for order. Was told would only be less than 1 1/2 hour. 2. Called at 1 1/2 hour and was told order was just coming out. 3. 30 min later pizza arrived and it, wings, cheese bread were all cold. Wrong salad dressing. No utensils, napkins, etc. Told hotel we did not recommend this place. Here is another 1 star rating to go along with the rest."
"6/1/2022","1 star ","Seriously. Just read the reviews. This is a scam business. Watch out on DoorDash, too. They go by Mothership Pizza on there but it's the same place. Save your money."
"8/31/2022","1 star ","This place is disgusting ... no idea how there still in business. The workers touch there phones and resume to touch food . The building itself is disgusting ."
"3/22/2022","1 star ","Is ZERO stars possible? This business is evidently trying to run some scam ghost kitchen called brooklyn calzones. The lining paper in the boxes says 24th st pizzera. It's a scam. They don't pay attention to you order and just throw together whatever they want, leave out any sides, and they DEFINITELY don't  include any marinara with the calzones, as the menu promises. AVOID THIS PLACE. Check out the photo- rhe Williamsburg calzone had very little spinach and cheese but so much garlic that it was DISGUSTING."
"3/2/2022","1 star ","This place has staff that  calls you, ""stupid mother fr""! .... not just once, but calls you back and says it again. The Supposed Assistant  Manager, knowing the order was well over an hour late, provided non-sensical excuses why it was late. He used the world famous... the driver was in an accident excuse.Pizza was cold and tasted terrible.Wings tasted good and were at temp.Milk was very warm.Deserts were good.Customer service was the worst I have had in all my 50 years on this earth.Avoid this place , my recommendation!If I owned this place, these two people would not work there anymore."
"1/4/2022","5 star ","I don't know why I see so many bad reviews. I ordered and it was super late, I have never heard of them before but the food was great. We got the pasta pizza bundle, I was in a hurry and hungry. They made sure to follow instructions and they were excellent."
"3/29/2022","1 star ","So very upset. First time I ordered they food was magnificent. Tonight I was very disappointed. I ordered through door dash. I ordered 2 chicken Alfredo and a 8 piece buffalo wings. Wings were ok but the dipping sauce was missing. The part that upset me the most was that BOTH bowls of pasta was only plain dry pasta. No sauce, and no chicken. I called the restaurant and she said that the order was placed based on what the door dash person said. But why would anyone order plain pasta. Just served it with no questions asked. Didn't the cost look weird. Is that what you charge for plain pasta? No worries. Never ordering from there again through door dash. I might go in but I doubt it."
"9/5/2020","1 star ","I didn't even get my food to know it was a disappointing. Placed my order at 7:30...never showed. Called at 8:53 said it would be here in 5 mins. Watched the delivery guy come to the hotel we are staying out (that they advertise in) and leave. Called them again at 9:11 was put on hold for 10 mins to then be hung up on. Called back and said I want to cancel my order. Guy said he'll be here in one minute, said no he can take it back. I don't want it now and asked for a refund. He said okay and that was it. No I'm sorry for the delay, nothing. Never even said we are super busy and down a cook or driver or something. Come on here to find out this place sucks. Glad I didn't eat it cause I probably would've ended up sick afterwords!Cancelled calls are because their phone had a busy tone."
"9/22/2021","1 star ","This place is trash on all levels. The only reason they're in business is because they're the only pizza spot open til 3 am. They have multiple kids 7 and under in the shop all night eating cheese and walking around bare foot. Their mom is usually the only employee and she's always yelling and cussing at them. This place should be investigated and shut down."
"6/4/2022","1 star ","Absolutely awful! Also goes by the name Freaking good pizza. This name could've be farther from the truth. The so called hot wings are flavorless and tossed in watered down Tabasco sauce and oil not even a hot wing sauce they are dry and chewy. Pizza was freaking disgusting. Pizza was burnt and the taste was terrible. DO NOT ORDER FROM THIS PLACE! Save your money. You have been warned!"
"6/28/2022","1 star ","I don't know what is wrong with the female who runs this business but she's a real bitch who hates her job and her life. Her attitude needs an adjustment, one of these days she gone get a stank ass attitude with the wrong one and get her ass beat. Don't order from this shitty place, she for damn sure is making your food with all the hate in her heart, you don't want to ingest that energy."
"11/14/2021","1 star ","How the do you get fried pickles confused with mozzarella sticks you donkey best at that I called and bob answers I tell him my complaints he says he will send driver and was about to hang up I said hold on how are you gonna send driver I didn't even give you my address not gonna recommended I work at hotel which this place gives give us flyers to give to guest I'm gonna throw those flyers away in trash every guest that ask about this place I will tell them to stay away"
"8/15/2022","1 star ","now i never EVER write reviews but this one has got to be the one restaurant that truly lives up to what people base them off of.i ordered through uber eats (it was late night and i was hungry) and so in return, im waiting 2 hours for some wings to arrive, i try checking to see if there's a tracking to know what my order is at, but there's none. it's only telling me to call the merchant, which is this hell hole of a restaurant, i called and whoever answered was in other words bitchy. i asked on the status of my order and she just tells me to talk to uber, i tell her that i can't bc it's only showing to call the restaurant, she's repeating herself like if i'm fucking stupid, and i repeat myself that there's no tracking and i have to call their restaurant in order to check the status, as i was telling her, she hung up. now i understand if a customer is rude to just hang up but i never cussed, i was just simply trying to get her to understand that THERE WAS NO TRACKING FOR MY ORDER; thankfully i contacted uber eats and just cancelled my order bc it took too fucking long, only for them to close the restaurant just probably wants to take your money, wish i can rate this negative stars bc what the fuck was this shit lmao"
"5/7/2022","1 star ","Don't even bother ordering. They are extremely rude and don't give a flying fuck about your order"
"12/7/2020","1 star ","I ordered ONE calzone through Grub Hub. 1.5 hrs later I still did not have my order. I called the restaurant to see what was up & the lady had attitude from the get go before saying ""oh what the hell, you shoulda had that by now"". How professional, anyways thats it... thats all she said. I said Cancel my order and give me my refund and she said she cant. Not once did she apologize for the delay or the inconvenience. No customer service at all. COMPLETE TRASH.After finally cancelling through GrubHub I went through some yelp reviews and Grub Hub reviews. I've consolidated some of the best reviews/pics and will be attaching them here for your benefit,Enjoy Please, please, please never order from here. No one should ever have to go through this."
"12/25/2020","1 star ","Extremely rude, lied to me about my order going to a ""different store"" that I called and they had no idea what I was talking about.  I called 24th street back, and they hung up on me, and when I called back again they would not answer.  My husband had to call and was told our food would be hours late with no apology.  Then hung up on again.How are they still in business?  Take your business elsewhere!!"
"9/6/2020","1 star ","I can't stand a company that tresspasses onto hotel propertly, to slide their advertising for a sub par product, no, for a crappy product under all the doors in the hotel.    This stuff is so bad, that ordering Dominos is a much better option (((shudder)))"
"4/16/2021","1 star ","If i could give this place negative stars i would. Ordered pizza and wing combo, got pink wings and Marinara sauce on a plate with the toppings on the side. like what?! what a joke of a restaurant, do not give this place any more money. I would rather eat roaches and grass than pay for another pizza and wings from this place. what a JOKE"
"12/4/2021","1 star ","Actually not even that. I had the worst experience with any pizza place here. Zero professionalism. As well as no responsibility over pizza being delivered. spent over $80 and delivery driver drove buy and did not deliver the pizza. Wouldn't get money back or anything"
"11/27/2021","1 star ","Everything everyone has said is true .. horrible place do not order. Oqner doesn't care either"
"11/21/2021","1 star ","Horrible. Ordered a pizza for delivery to Hilton at 9PM. Delivery driver called that he dropped off at front desk at 10PM. Front desk never received anything. He called back said he left at wrong hotel but pizza was already cold would ask manager for a new one. Called me back 30 mins later and said manager said to bad and wouldn't make me one. I called manager and they acted they didn't know what we were talking about. Delivery driver called me back and said that they do this about 4-6 times a day to people. Horrible place. Avoid it at all cost!!! It's 1130 PM and kids had to fall asleep hungry. Put manager and driver on 3 way call and then driver changed his story and said he did deliver. Then manager with kids yelling in the background said it was between us and she couldn't do anything. All they do is scam people. Save yourself a headache and AVOID this trash place."
"11/28/2021","1 star ","Pizza was cold and raw the dough was burn in the bottom and raw very disappointing for the price and for the waiting time, cheese sticks were soggy and dipping sauce seems that it was left out the fridge overnight it was rotten very disappointed of this place, i do not recommend"
"3/21/2021","1 star ","Ordered a 10 inch pizza to be delivered to my room at the Gunter hotel. Pepperoni ,green peppers ,mushrooms and feta and a orange soda. Simple enough. They said OK...be their in a half hour since they are right down the street. I was Hungary too. A hour and 15 later a knock at the door! Nice its here I say. Delivery guy hands the pizza over and my soda in a brown bag. But no delivery warming thing for the pizza? He says 28.00 an dI think dam that's a lot for a 10 inch pizza and a soda!! I pay and he leaves. I learn from my mistakes and that wont happen again. I open pizza box to reveal a completely wrong pizza. One with sausage and onions!!! My wife hates BOTH.Wait it gets worse.I pull the soda out of the bag and lo and behold its a OJ!!These dummies' cant even get that right.So bad I didn't even call back to complain. I'm sure they hear it ALL THE TIME anyway.So not only was I out 30 bucks the order was totally messed up and wife and I went to bed Hungary.Did I mention it was cold too!!!"
"8/5/2021","1 star ","Worst pizza I have ever eaten. I also ordered fried mushrooms and instead got little fried burnt mushrooms that resembled buck shot. Pizza was stuck to the cardboard pizza box. Very bad and should be shut down."
"8/9/2021","1 star ","Customer Service was horrendous I placed an order for A gyro from menu and was then later told they don't serve that item when I tried to order something different the self proclaimed manager didn't understand she didn't know the menu was completely rude and unhelpful and hung up on me. Will never order from this dump again."
"7/18/2021","1 star ","if i could give this place 0 stars i would. i tried to order from here through the phone & the female that answered was giving me nothing but attitude. i asked her about bundles & to break down the prices & she just didn't give af. i called a second time hoping someone else would speak & the same girl answered. i asked her once more for a price breakdown on my order & she was just throwing constant attitude. we tried calling over & over & they would pick up & hang up when we would start talking. we called one more time to see if our order was on the way (it had been an hour) & she just had so much disrespect. i asked if it was still in the process of making & she just ignored me. i gave up with trying to talk to these people & asked to cancel my order & she cussed me out & hung up. worst place to order from, save your money."
"7/17/2021","1 star ","In front out of down.  Called to place an order and girl that answered phone told me it would be a 2 hour delivery wait I said ok. She then said call back in 2 hours then hung up on me.  When I called back to speak to manager she then told me they went home. Was Rude as ever. Will NEVER Recommend  to anyone. If u don't want business u shouldn't distribute ur flyers at hotels. Pls don't order from these idiots. Sad I actually heard from a friend they were decent. So Hope u keep getting bad reviews. Get better employees. Will be reporting to manager  guaranteed"
"7/23/2019","1 star ","If i could do no stars i wouldThey are rude, does not pay attention in orders and i am sure they are a cover up for drugs I mean just the way the person who delivers is im pretty sure she was high as hell‍THE STATE NEEDS TO CLOSE THIS PIZZERIA"
"7/5/2018","1 star ","Ugh.  Why didn't I check Yelp! ? I'm a teacher on vacation, recovering from foot surgery, and a military veteran... I'll tell you this food is worse than anything I ever ate in any galley.  That's saying a lot. *incorrect order*messy order*uncooked food*overpriced delivery service*food was not goodWe ordered a can of soda and they sent a liter bottle. Ordered extra fries with my order and did not receive my fries.  I called back and spoke to the restaurant and the delivery guy--they said they'd send the fries but, yeah right.  Those never came.There was pasta sauce all over the containers.The Fried Zucchini was not fully cooked--raw dough.I included two pictures--one of my raw, doughy, sloppy zucchini and the other is my pathetic looking gyro. Both made me yearn for hospital food."
"7/22/2020","1 star ","This place was the worst,  I ordered 1 large Specialty Pizza, 1 Chicken Parm, 1 Meat Ravioli, 1 Chicken Fettuccine Alfredo (add shrimp) and 1 chocolate cake. My total came out to $89.24 and my order was 3 & an half hours late, and the only thing they sent that I had ordered was chocolate cake and fried mushrooms.  I couldn't get ahold of a manager and the girl that answered the phone told me to Fuck off when I asked where my food was..bad place"
"7/27/2019","1 star ","Well all I can say I wish I would of looked at the reviews before ordering, the last that answered the phone omg, she really needs to look for a new job. It took over as n hour to get it delivered to our room, pizza was cold and tasted nasty, the spaghetti was ok lasagna looked like they just slapped pasta in there and put sauce on top of noodles, tasted ok, and they forgot our garlic bread, I should of ordered from pizza hut or dominoes but I always try to support local businesses. This was definetly a big mistake."
"10/20/2020","1 star ","Please listen to the reviews. We ordered from here because we were starving and that was the worst idea ever. Spent $100 on 1 pizza 8 wings and a soda. Got charged twice and didn't even get our soda. When I called about refunding one of the charges I've been given three run around. PLEASE LOOSEN TO THE REVIEWS"
"6/5/2020","1 star ","Ordered Gyro and Frys last night through Grubhub....HORRIBLE!!!$25.00 for what looked like a folded over pizza crust with a few nasty ingredients and sauce that smelled and tasted like puke!I'm in town on business and unfamiliar with the good late night choices here in San Antonio...Wanted to warn the next visitor"
"7/5/2019","1 star ","Not impressed! 2 hours plus and it's still not delivered. Actually very irritated. Said it would be here in 30-45 mins. Stick with the national chains at least you know what and when your getting it! This will NEVER HAPPEN AGAIN!! Pissed"
"1/12/2021","1 star ","I wish I could give zero stars - Please save yourself the frustration and disappointment of ordering from here! I placed an order through UberEats, paid in full (over $60) and then after no feedback from the restaurant, I called them. A lady answered the phone with small kids in the background. She said they didn't receive the order. I asked about UberEats as the order was placed, charged and showed it was waiting on the restaurant to show it was being prepared. She repeated she didn't receive it, and couldn't help.I asked if I could just place an order with her, she said no. No offer of help or assistance in anyway. I then cancelled the UberEats order, and it advised me of a $27 cancellation charge. I called the restaurant back and advised the same lady of the cancellation charge - she said I needed to take this up with UberEats.UberEats has advised they cannot refund it as the restaurant was already preparing the order when I cancelled. PLEASE BE AWARE OF THIS RESTAURANT SCAMMING! Very bad business, I should have heeded the terrible reviews before I ordered, my mistake."
"8/16/2018","1 star ","Absolute WORST business in all of San Antonio... I say that comfortably. The only reason this place still has any business is because it's the only place open late at night. We ordered a small and large greek salad. What did we receive? Two small boxes of spinach with honey mustard dressing(??) and gyro meat thrown carelessly on top. What the hell?Our calzone was burned beyond edibility. Seriously, it was charred. Absolutely unacceptable condition. The ham and cheese sandwich was fine, aside from the fact that it did not contain and tomato or lettuce as promised on the menu. Additionally, the driver didn't even carry change! How can you run a delivery business with no change? Sucked.The fact that they slid the menu under our door and then had the audacity to give us such a terrible, terrible product... I could have gotten better food at a gas station. Honestly, wish I could get a refund. DO NOT spend your money here, get a cup of noodles from CVS."
"12/4/2017","1 star ","I'll start off to the point, this PIZZA is the top 2 worst that I've ever had ! I found it to be inedible, it was soft and floppy like a dog ear probably because it was raw and doughy . I can't comprehend how a pizza could be this bad unless it was on purpose. I also had the Alfredo which was also believe it or not the worst I've ever had , the Alfredo was watery looked a thin soup broth and the chicken taste as if boiled in water . I just can't understand how someone could go through the complicated task of opening a business  then end all effort and fall short where it matters most the (PIZZA) ! This is your lively hood , bread and butter ,why wouldn't one try to make the very best pizza possible? Why wouldn't a person try the best rated pizza in town then attempt to make one better ! The reviews clearly show that customers are not at all satisfied with the extremely low quality food made here ."
"4/13/2019","2 star ","Ordered off Uber eats.Took an hourI had asked for bacon on my pizza not ham They didn't cut the pizza in slices??? Pretty bland Will not be ordering again."
"3/22/2021","1 star ","Terrible experience. I ordered for delivery. I never received my order and the delivery driver said they were very rude and unprofessional. Disappointing."
"3/15/2020","1 star ","If I could give no stars I would. Ordered the pizza and wings combo, with a salad for my wife. It took OVER 2 HOURS for them to deliver. When I finally got my food and went back up to my hotel room, there were no utensils for the salad and no dressing. The pizza had banana peppers instead of jalapeños, and the wings were lemon pepper and not hot. Over all. Absolutely terrible service and experience. DO NOT WASTE MONEY HERE."
"2/5/2021","1 star ","The had UEats delivery.  It took over an hour and a half + for delivery.  The order was cold, and wrong. The pizza crust tasted like frozen pizza dough."
"5/10/2020","1 star ","They are a disgrace wouldnt even give me a refund after they send me over cooked burnt food and doggie mushrooms wouldn't recommend them to anyone and charge u 20 delivery fee to deliver it to u"
"2/1/2019","1 star ","Awful, just awful. Hour for pizza and they went to the wrong hotel all the way downtown.Update: Just got my pizza at 11:20 and I ordered it at 9:40. I ordered a pepperoni pizza with pineapple on one half and jalapeño on the other. I got a pizza with pepperoni on half and jalapeños and pineapples on the other half and it looks like they threw some mushrooms in there for fun. Lol, this place is a joke. Don't order. They left a flyer under our hotel door and they freaking went to the wrong hotel...geez. I'm scared to eat this pizza. I wish I would have read the reviews first! I learned my lesson. Read the Yelp reviews first!!!"
"12/19/2019","1 star ","Wow.  I'm such an idiot for not looking at yelp before we ordered here. This has got to be the worst pizza I've ever had in my life.  We got salads, wings, pizza and mozzarella sticks and spent $54.  Nothing was good.  My kids are still hungry and I'm so angry about the money we just wasted.  Please don't order from this place."
"11/28/2019","1 star ","Ordered 16 wings with large fries priced at $19.99 on the menu. Told me the price would be $27 with tax and delivery 2 hours later they arrive with a bill for $29 and asked for tip on top of the delivery fee. Inspected my food, got 15 wings and no fries. How the fuck is this place still in business?"
"7/5/2018","1 star ","If i could give this zero stars i would.  Ordered pizza and soda it was supposed to be the 15.99 special.    Well after the food arrived 1 hour and 40 mins later,  the pizza was cold and soda warm.  Secondly the pizza was incorrect.  Third they charged me $ 32.    I called to complain and this rude ass girl hung up on me.   THAT'S NOT GONNA FLY WITH ME.  So i go up there. That was a waste of time.  That same chick said no refunds only they owner can give refunds.    I asked for his name she said Mike but didn't know his number.  WTF!!   So now what I'm stuck with a cold pizza and charged double the price.    TRUST ME DON'T ORDER OR GO HERE.   DON'T BELIEVE ME CHECK ALL THE REVIEWS. 1 star on yelp 1 star on google reviews."
"3/22/2021","1 star ","Me and my partner ordered food from them last night to be picked up, only for them to not only send us to a random house, but also for them to be closed when we got there. We called multiple times and they didn't answer, this was completely unacceptable and judging by the previous reviews, we'll just stay away from this place. Sorry not sorry, this place sucks ‍"
"3/19/2021","1 star ","Ordered food thru Grubhub. The food that showed up was wrong. When i called the restaurant to try and figure out what was going on they told me take it up with grub hub and hung up. I guess I should've read a few of these reviews before before wasting my time and money. They only get 1 star because it won't let me leave 0."
"4/14/2018","1 star ","Worst customer service. Cursing in the background. Should have hung up when they didn't acknowledge name of business when they answered the phoneDidn't get all my food, female in background said I was full of sh*** and then the guy banged on me.  How are they even in business? Gyro was was not made not a Gyro. Don't know how they are still in business.Should have stuck with the hotel recommended pizzeria."
"12/18/2019","1 star ","Crap crap crap!! I too should have read the reviews before I ordered.  The girl who took the order was extremely RUDE. She lacked customer service skills and probably lacking in general. Hoping my food gets here warm and timely. I sure hope the manager reads these reviews so they can clean house. I'll start praying now."
"10/12/2018","1 star ","Crap crap crap!! I too should have read the reviews before I ordered.  The girl who took the order was extremely RUDE. She lacked customer service skills and probably lacking in general. Hoping my food gets here warm and timely. I sure hope the manager reads these reviews so they can clean house. I'll start praying now."
"8/31/2018","1 star ","I wouldn't have given this place a star, you have to give it something to write a review. I've gotten better pizza from the microwave section at my local gas station. If you check into a hotel and their flyer is slid under the door, for the love... no matter how hangry you are - Do yourself a favor and order anything (and I do mean anything) other than this place. Bad food. Bad service."
"3/18/2018","1 star ","Um, yikes. Other pizza places are closed at 11:30 PM, okay, I get it. But holy dump, this pizza was the grossest piece of crap I've ever put in my mouth. Just imagine, a 16 inch piece of dough, flattened out with some melted  cheese on top. But even the cheese is gross. Just take your lowest expectations for pizza EVER, think about that, and then divide it by half. Even then, that will be much too high for what this ""pizza"" place delivers.This place has no business making pizzas."
"7/23/2020","1 star ","Don't order from this place!!!!  When we arrived at our hotel, 24th Street Pizzeria had slipped a flyer under our door.  We were hungry and ordered food at 9:30pm.  The lady on the phone was rude and I questioned whether we should continue with order, but we were hungry.  The lady on the phone said it would take an hour.  After almost 2 hours (at 11:15pm) we called and cancelled our order and got other food. At 12:50am, they knocked on our hotel room door and tried to deliver the food. The delivery driver said nobody told him we cancelled and was rude. What a joke of a restaurant.  RUN FAST FROM THIS PLACE!  I wish I would have looked at the reviews prior to ordering."
"12/22/2018","1 star ","Food took 2 hours. Asked for an itemized receipt and wouldn't provide one. I did the math and was over charged by 8$. Called to complain and was treated like crap. Wouldn't refund and argued how 35 plus delivery fee turned into 52. I would give a zero but it is not possible. STAY AWAYBTW. Pizza was cold and no mayo as advertised."
"12/29/2017","1 star ","This place is terrible.  I ordered a pizza, they said it would take @ 60-75 min.   Over 90 min later, I called back because order had not arrived.  The person arrived 3 hours after I place the order. The Pizza was cold & salad was room temp.  Definitely not edible.  I have called the business several times to address the issue, the employees on phone have lied to me, given false names as to who I'm speaking with or refused to give me their name or managers name. I've never seen service like this.  I'd give them 0 stars if possible.  They are terrible. Disappointed from Midwest"
"2/27/2018","1 star ","DIdn't bother to check the rating before we ordered.  Got the Gyro, absolutely horrible.  Fries weren't cooked there was virtually no meat and none of the regular condiments.Worse meal I've had in a very long time."
"4/14/2018","1 star ","I called this place at least 5 times busy signal so i called Big tony rip off pizzeria they tried to over charge me and guy was rude when i confronted him on the price. So i call 24th street rip off pizzeria and they over charged me too. Then guy says he's mgr and new employee didn't know prices.  So they drop a $40 order to the correct price $22.  WHICH IS CRAP BECAUSE EVERYTHING IS PROGRAMMED ON THE COMPUTER! Gyro $7.99 +spaghetti $7.99. Plus tax and delivery.  Order was wrong too. So i paid $20 plus tip. I can honesty say both 24th st. Pizza and Big tony pizzeria both rip offs! Miracle they are still in business! Food is mediocre and they take advantage of tourists trying to get a late night meal. Eat on the riverwalk or bring you're on food! DO NOT ALLOW THESE PLACES TO SCREW YOU OVER!"
"8/2/2018","1 star ","We were staying at La Quinta In close to the highway, they put one of their promotion peppers under our room  door and we decided to place an order. My daughter asked for a Cesar salad and the salad was disgusting. The romaine lettuce was black, there was no bacon, she requested no banana peppers and no mushrooms and they did the opposite. The delivery was late, it took more than 1 1/2 hrs. The ladies unfortunately had issues with their gps and one of them dropped one of our drinks. The pizza was completely cold.  Very bad service."
"10/6/2017","1 star ","DO NOT EAT HERE! After two rude interactions with the order taker including putting me on hold without telling me, $20+ for a small pizza, 1 hour and 15 min wait for a cold (not even warm) pizza...I've now order room service. DO NOT EAT HERE"
"11/23/2017","1 star ","Read the reviews....they are all 100% accurate. Do not bother with this place. Ordered to our hotel. Was told it could be up to an hour. Several phone calls later and our order finally showed up cold an hour and 45 mins later. The lady in the phone wasn't very nice. We ordered 2 drinks, they showed up and said sorry haven't got any. I would settle for a plastic sandwich from a gas station instead of going here!"
"12/25/2019","4 star ","I ordered through Uber eats before I saw any of these reviews. Of course I was worried after I saw all the bad reviews. I was pleasantly surprised. The pizza arrived on time, it was delicious. No issues at all. Not sure if I got lucky or maybe they've changed some things recently. Anyway the pizza was great."
"6/20/2019","1 star ","The pizza was gross, they forgot part of the order, and several ingredients in the salad had obviously gone bad. My two bites of salad had me vomiting and gave me painful diarrhea all night. Stay away. The hotel menus must be the only way that they are still in business."
"11/28/2018","1 star ","Horrible!Let's start with the good: the strawberry cheesecake was okay.The Bad: EVERYTHING ELSE! When I called to place a delivery order I was put on hold. Then the girl taking my order didn't have the same specials that were listed on the flyer in my hotel room. Delivery time: they told me they would deliver in 45 minutes but it took an hour and 20 minutes. The receipt was a crumbled up sliver of paper with nothing itemized. The salad: I ordered the garden salad with 1000 island dressing.  I got mostly lettuce and RANCH dressing.  Lots of onion and not much else.The pizza: I ordered the Hawaiian speciality pizza. It was supposed to have extra cheese with pineapple and Canadian bacon. The pizza was delivered cold. There was barely any sauce and very little cheese. Even reheated, it tasted awful. Dessert: They had a special with 2 desserts for $6.99. I ordered the strawberry cheesecake and a slice of carrot cake. Instead they gave me a rocky road brownie and the strawberry cheesecake. I would never order from them again. Avoid this place."
"11/27/2018","1 star ","$11.99 pizza turns out to be $20.00.  Upon calling up the ""restaurant"" to see how my final cost went up such a large percentage without notice on the menu, I was rudely told to ""Call back to tomorrow to talk to the MGR.""Then the man hung up on me.OK pizza.Fraudulent pricing.Terrible customer service.Garbage business plan."
"11/19/2017","2 star ","Seriously kinda miffed. Pizza was eh. Totally not sure what the bacon was on the pizza. But it wasn't like any bacon I've had before. Gross and felt uncooked. Lesson learned. Definitely won't order from you guys again. . But I ordered garlic bread. Asked that it be lightly toasted with extra garlic butter. Paid $1.79 for 1 slice of bread. 1 small slice of bread. I thought I would get a bit more than that. I could have bought a whole loaf of bread and made myself garlic bread for that price. This place is a little overpriced for what you get. I won't be ordering from here again. I just thought I'd try them since I'm new to the area and don't know what the good pizza places are."
"12/13/2017","1 star ","AwfulOver an hour late, chick on the phone is rude, won't listen and appears to be extremelyBothered by your call . Called after I waited forever and she just said the driver is out and hung up on me Don't waste your money** update** now 2 hrs later I call to find out what's going on, the girl on the phone gets an attitude and says she'll call the driver, yells at me, and hangs up I still do not have my food but they certainly charged me for the order"
"4/19/2017","1 star ","An hour and 40 minutes + four phone conversations with the cashier + a calzone delivery WITHOUT the calzone, ( how does someone forget to delivery THE ONLY entree in the whole delivery?! ) only to be topped off with finally getting a chance to talk to the ""assistant Mgr""..... HA. The ""assistant manager"" comes on the phone (not because he wanted to help, because I forced the conversation), and rather than understanding my frustrations and helping to clear everything up, gets his feelings hurt and yells back at me that he doesn't care about how I f****ng feel.Needless to say, whether you are looking for pizza or just looking for delivery, AVOID THIS PLACE AT ALL COST."
"4/20/2017","1 star ","Lady on the phone was ridiculously rude. Order took well over the quoted 45 min and when I called and realized I'd sent them to the wrong hotel (across the street, wrong, not other side of town wrong) we waited another 30+ min before we called again and told them to forget it. Didn't stop them from sending the delivery boy, who was rude too. Told him I'd already cancelled my order and I wasn't doing it.Wish I'd read the reviews before I ordered."
